stage,team1,score1,score2,team2,winner,date
Group A,Mexico,2,0,South Africa,,2026-06-11
Group A,South Korea,2,1,Czechia,,2026-06-11
Group A,Czechia,1,1,South Africa,,2026-06-18
Group A,Mexico,1,0,South Korea,,2026-06-18
Group A,Czechia,0,3,Mexico,,2026-06-24
Group A,South Africa,1,0,South Korea,,2026-06-24
Group B,Canada,1,1,Bosnia and Herzegovina,,2026-06-12
Group B,Qatar,1,1,Switzerland,,2026-06-13
Group B,Switzerland,4,1,Bosnia and Herzegovina,,2026-06-18
Group B,Canada,6,0,Qatar,,2026-06-18
Group B,Switzerland,2,1,Canada,,2026-06-24
Group B,Bosnia and Herzegovina,3,1,Qatar,,2026-06-24
Group C,Brazil,1,1,Morocco,,2026-06-13
Group C,Haiti,0,1,Scotland,,2026-06-13
Group C,Scotland,0,1,Morocco,,2026-06-19
Group C,Brazil,3,0,Haiti,,2026-06-19
Group C,Scotland,0,3,Brazil,,2026-06-24
Group C,Morocco,4,2,Haiti,,2026-06-24
Group D,USA,4,1,Paraguay,,2026-06-12
Group D,Australia,2,0,Türkiye,,2026-06-13
Group D,USA,2,0,Australia,,2026-06-19
Group D,Türkiye,0,1,Paraguay,,2026-06-19
Group D,Türkiye,3,2,USA,,2026-06-25
Group D,Paraguay,0,0,Australia,,2026-06-25
Group E,Germany,7,1,Curaçao,,2026-06-14
Group E,Ivory Coast,1,0,Ecuador,,2026-06-14
Group E,Germany,2,1,Ivory Coast,,2026-06-20
Group E,Ecuador,0,0,Curaçao,,2026-06-20
Group E,Curaçao,0,2,Ivory Coast,,2026-06-25
Group E,Ecuador,2,1,Germany,,2026-06-25
Group F,Netherlands,2,2,Japan,,2026-06-14
Group F,Sweden,5,1,Tunisia,,2026-06-14
Group F,Netherlands,5,1,Sweden,,2026-06-20
Group F,Tunisia,0,4,Japan,,2026-06-20
Group F,Japan,1,1,Sweden,,2026-06-25
Group F,Tunisia,1,3,Netherlands,,2026-06-25
Group G,Belgium,1,1,Egypt,,2026-06-15
Group G,Iran,2,2,New Zealand,,2026-06-15
Group G,Belgium,0,0,Iran,,2026-06-21
Group G,New Zealand,1,3,Egypt,,2026-06-21
Group G,Egypt,1,1,Iran,,2026-06-26
Group G,New Zealand,1,5,Belgium,,2026-06-26
Group H,Spain,0,0,Cape Verde,,2026-06-15
Group H,Saudi Arabia,1,1,Uruguay,,2026-06-15
Group H,Spain,4,0,Saudi Arabia,,2026-06-21
Group H,Uruguay,2,2,Cape Verde,,2026-06-21
Group H,Cape Verde,0,0,Saudi Arabia,,2026-06-26
Group H,Uruguay,0,1,Spain,,2026-06-26
Group I,France,3,1,Senegal,,2026-06-16
Group I,Iraq,1,4,Norway,,2026-06-16
Group I,France,3,0,Iraq,,2026-06-22
Group I,Norway,3,2,Senegal,,2026-06-22
Group I,Norway,1,4,France,,2026-06-26
Group I,Senegal,5,0,Iraq,,2026-06-26
Group J,Argentina,3,0,Algeria,,2026-06-16
Group J,Austria,3,1,Jordan,,2026-06-16
Group J,Argentina,2,0,Austria,,2026-06-22
Group J,Jordan,1,2,Algeria,,2026-06-22
Group J,Algeria,3,3,Austria,,2026-06-27
Group J,Jordan,1,3,Argentina,,2026-06-27
Group K,Portugal,1,1,DR Congo,,2026-06-17
Group K,Uzbekistan,1,3,Colombia,,2026-06-17
Group K,Portugal,5,0,Uzbekistan,,2026-06-23
Group K,Colombia,1,0,DR Congo,,2026-06-23
Group K,Colombia,0,0,Portugal,,2026-06-27
Group K,DR Congo,3,1,Uzbekistan,,2026-06-27
Group L,England,4,2,Croatia,,2026-06-17
Group L,Ghana,1,0,Panama,,2026-06-17
Group L,England,0,0,Ghana,,2026-06-23
Group L,Panama,0,1,Croatia,,2026-06-23
Group L,Panama,0,2,England,,2026-06-27
Group L,Croatia,2,1,Ghana,,2026-06-27
R32,South Africa,0,1,Canada,Canada,2026-06-28
R32,Brazil,2,1,Japan,Brazil,2026-06-29
R32,Germany,1,1,Paraguay,Paraguay,2026-06-29
R32,Netherlands,1,1,Morocco,Morocco,2026-06-29
